date,station,predicted_cells,alert_probability,predicted_alert_label,shap_top_1,shap_top_1_value,shap_top_2,shap_top_2_value,shap_top_3,shap_top_3_value
2024-09-09,회남(옥천),2243.495887045212,0.86,1,turbidity,0.09603948431380559,water_temp,0.08675341305235634,sin_season,0.08563257955685913
2024-09-12,회남(옥천),2409.9628804208874,0.66,1,turbidity,0.09189471539240912,water_temp,0.06953583004782558,sin_season,0.06562332635743587
2024-09-19,회남(옥천),3054.6255920804138,0.63,1,sin_season,0.08181082983006491,turbidity,0.06990987733842303,water_temp,0.06742591306687246
2024-09-23,회남(옥천),5478.530512221152,0.75,1,sin_season,0.09283147208781883,water_temp,0.0722600039839017,turbidity,0.0660291342370283
2024-09-30,회남(옥천),4449.766853117539,0.63,1,turbidity,0.07631654744953266,water_temp,0.06784690169999522,acc_temp_7d,0.04721008321474073
2024-10-07,회남(옥천),1903.4443667490832,0.43,1,turbidity,0.08247008271308004,air_temp_7d_mean,-0.061709205472971006,sin_season,0.05839956696425361
2024-10-14,회남(옥천),930.0437391585302,0.27,1,turbidity,0.07403845182259829,cos_season,-0.07161448336628382,pH,-0.037450714131700806
2024-10-21,회남(옥천),599.5032910495,0.24,1,cos_season,-0.07012535666573967,turbidity,0.050394483733070955,transparency,-0.04977257846529028
2024-10-28,회남(옥천),281.64360147579174,0.1,1,cos_season,-0.08510476092291355,air_temp_7d_mean,-0.06725531641894122,transparency,-0.041284321113689654
2024-11-04,회남(옥천),47.27036963130909,0.04,0,cos_season,-0.07713261858880287,turbidity,-0.04887440334437997,air_temp_7d_mean,-0.04748440441157072
2024-11-11,회남(옥천),118.630377051987,0.0,0,turbidity,-0.053203809549559083,cos_season,-0.04697392885020236,avg_temp,-0.03695746067416621
2024-11-18,회남(옥천),62.94897145823125,0.0,0,water_temp,-0.05167444465030712,cos_season,-0.04312967913834655,turbidity,-0.04186364714651063
2024-11-25,회남(옥천),77.2920008112071,0.0,0,turbidity,-0.05035396486795435,water_temp,-0.05020595284891897,cos_season,-0.042384520350042296
2024-12-02,회남(옥천),31.883375412254246,0.0,0,water_temp,-0.05075519881273067,turbidity,-0.04121059518576658,cos_season,-0.04035396845676587
2024-12-09,회남(옥천),26.150886048751357,0.0,0,water_temp,-0.053543095439090395,cos_season,-0.03937321431629243,avg_temp,-0.03259531773321214
2024-12-16,회남(옥천),30.489350365725564,0.0,0,water_temp,-0.0463258735600175,turbidity,-0.034535436937512716,sin_season,-0.03072865155227191
2024-12-23,회남(옥천),35.62782942672416,0.0,0,water_temp,-0.04563992124101787,turbidity,-0.038345476867689285,sin_season,-0.03430047701407602
2024-12-30,회남(옥천),29.262916843285417,0.0,0,water_temp,-0.04366984184758621,turbidity,-0.038128052653300985,sin_season,-0.03369456077609357
2025-01-06,회남(옥천),13.155053260109323,0.0,0,water_temp,-0.04410292621691042,turbidity,-0.03986687650698514,sin_season,-0.03409032910771202
2025-01-13,회남(옥천),4.2776711906261005,0.0,0,water_temp,-0.0443952746182913,turbidity,-0.037842226412249144,sin_season,-0.0343482980371482
2025-01-20,회남(옥천),7.858590807903278,0.0,0,water_temp,-0.04541587363113649,turbidity,-0.03793250785129203,sin_season,-0.034355047696153634
2025-01-31,회남(옥천),3.9385925523006584,0.0,0,water_temp,-0.042797608718719855,turbidity,-0.038983489073070816,sin_season,-0.034180949481160496
2025-02-03,회남(옥천),10.253235215160885,0.0,0,water_temp,-0.0429595603188136,turbidity,-0.038148315912039835,sin_season,-0.035142482722512795
2025-02-10,회남(옥천),9.057516607644418,0.0,0,water_temp,-0.04397908778733836,turbidity,-0.03776980945360265,sin_season,-0.03601274605083745
2025-02-17,회남(옥천),6.390440083158219,0.0,0,water_temp,-0.04471556302705722,turbidity,-0.03871496088247113,sin_season,-0.035791905463993315
2025-02-24,회남(옥천),11.848118793116214,0.0,0,water_temp,-0.04580349954423582,turbidity,-0.041158737929945344,sin_season,-0.037427666629009766
2025-03-04,회남(옥천),5.813071085675127,0.0,0,water_temp,-0.04989391454033466,turbidity,-0.04019360082260391,sin_season,-0.03911712908251502
2025-03-10,회남(옥천),2.7775334722760006,0.0,0,water_temp,-0.05428834083904803,sin_season,-0.0406378252489958,turbidity,-0.039912309138471755
2025-03-17,회남(옥천),8.018787006751907,0.0,0,water_temp,-0.047311753507747197,turbidity,-0.04038234892656874,sin_season,-0.03834619827379356
2025-03-24,회남(옥천),0.500343694026786,0.02,0,water_temp,-0.05640808459276741,turbidity,-0.05085443361285798,sin_season,-0.048169949832990826
2025-03-31,회남(옥천),1.4214622226719777,0.0,0,water_temp,-0.053007269431182065,turbidity,-0.04395127744755882,sin_season,-0.04340921422233805
2025-04-08,회남(옥천),0.19766277795740428,0.0,0,water_temp,-0.05685523815933266,turbidity,-0.05328246027183013,sin_season,-0.04958750044475892
2025-04-14,회남(옥천),1.2224854930111277,0.0,0,water_temp,-0.05317392169381492,turbidity,-0.04758558821129554,sin_season,-0.044485905812616695
2025-04-21,회남(옥천),0.2714811973875353,0.0,0,water_temp,-0.07187368680206419,sin_season,-0.058298329637909777,turbidity,-0.058237218296708304
2025-04-28,회남(옥천),0.05288384238526267,0.0,0,water_temp,-0.055434170541193456,turbidity,-0.051044130868981484,acc_temp_7d,-0.04898190485244413
2025-05-07,회남(옥천),0.0,0.01,0,water_temp,-0.06804428560673842,sin_season,-0.060130833218281624,acc_temp_7d,-0.052113690416299506
2025-05-12,회남(옥천),0.13142120966092397,0.0,0,water_temp,-0.06390444435914105,sin_season,-0.05317765908519505,turbidity,-0.04986634929612592
2025-05-19,회남(옥천),0.4264657702720269,0.0,0,water_temp,-0.07376932522733114,sin_season,-0.06276301573074307,acc_temp_7d,-0.056272817216959085
2025-05-26,회남(옥천),0.7408866126923115,0.0,0,water_temp,-0.06495980181149207,sin_season,-0.05568956367787905,turbidity,-0.051753571629906216
2025-06-02,회남(옥천),1.6767888271023268,0.0,0,water_temp,-0.06697877020524175,sin_season,-0.057223333344190906,turbidity,-0.05674273814849585
2025-06-09,회남(옥천),17.260136230404417,0.0,0,sin_season,-0.06046071441876848,water_temp,-0.05757551635055279,acc_temp_7d,-0.05235940497817865
2025-06-16,회남(옥천),55.3804124822607,0.01,0,sin_season,-0.06681960316289405,water_temp,-0.06395206371820678,acc_temp_7d,-0.05202781749263522
2025-06-23,회남(옥천),242.79515829574657,0.07,1,sin_season,-0.10031513275931501,acc_temp_7d,-0.045792272562975994,cos_season,-0.04430747425754816
2025-06-30,회남(옥천),231.02160786812607,0.1,1,sin_season,-0.08700063813948873,acc_temp_7d,-0.04882532095066381,cos_season,-0.04287051934010378
2025-07-07,회남(옥천),365.47073827593107,0.05,1,sin_season,-0.06779063515257804,turbidity,-0.05814702398107329,acc_temp_7d,-0.0454073808836074
2025-07-14,회남(옥천),456.7142745975339,0.05,1,sin_season,-0.08069785698520718,turbidity,-0.06458051539375446,cos_season,-0.03338837292089011
2025-07-21,회남(옥천),737.0277299563895,0.34,1,sin_season,-0.09977043106024212,cos_season,-0.06641289199404127,water_temp,0.0491141273847461
2025-07-28,회남(옥천),1645.938024334616,0.61,1,water_temp,0.06618533584914985,turbidity,0.0648297005306813,acc_temp_7d,0.039284758219364446
2025-08-04,회남(옥천),5066.79328738678,0.78,1,water_temp,0.07673575439082925,turbidity,0.07582928919349798,sin_season,0.07414849612760008
2025-08-11,회남(옥천),5776.31210924888,0.9,1,turbidity,0.098145717902662,water_temp,0.08761690500803525,sin_season,0.08538155144813572
2025-08-13,회남(옥천),5485.061529610413,0.9,1,turbidity,0.11899194069206714,sin_season,0.08817769496432447,water_temp,0.08319436533551197
2025-08-18,회남(옥천),5033.708539566005,0.87,1,turbidity,0.10135361492008087,water_temp,0.0878044843803218,sin_season,0.08519353553951077
2025-08-21,회남(옥천),5321.103415710084,0.87,1,turbidity,0.1041189649545413,water_temp,0.08606988139097665,sin_season,0.08453975862685184
2025-08-25,회남(옥천),4976.13869669805,0.88,1,turbidity,0.10597444438186358,sin_season,0.08854543681205541,water_temp,0.079544484557955
2025-08-28,회남(옥천),5095.52214002742,0.84,1,turbidity,0.10842141056949912,sin_season,0.08424077572126407,water_temp,0.07287165244222706
2025-09-01,회남(옥천),3336.762209624296,0.73,1,turbidity,0.09220614366304289,sin_season,0.0811361435658182,acc_temp_7d,0.05802849608677207
2025-09-04,회남(옥천),6677.222159446801,0.86,1,turbidity,0.09879249270488799,sin_season,0.09751911997038405,water_temp,0.08002241717767902
2025-09-08,회남(옥천),5740.950041664081,0.91,1,turbidity,0.09415166298796976,sin_season,0.09159392526724332,water_temp,0.0832414287044594
2025-09-11,회남(옥천),5851.446710165651,0.89,1,turbidity,0.09807916306301195,sin_season,0.09525325078589958,water_temp,0.07345896881713998
2025-09-15,회남(옥천),6164.798307646308,0.82,1,turbidity,0.09603932897032791,sin_season,0.09140706746738943,water_temp,0.07425500028039096
2025-09-18,회남(옥천),3008.3636544390342,0.95,1,sin_season,0.09718921027204487,turbidity,0.09718686848198559,water_temp,0.08425234155161888
2025-09-22,회남(옥천),2701.1232761384267,0.88,1,sin_season,0.10081361489545088,turbidity,0.08545690832654146,water_temp,0.0718625004036221
2025-09-25,회남(옥천),1394.9464910930274,0.51,1,turbidity,-0.055452537847395435,water_temp,0.05282329019653844,sin_season,0.05039313543229582
2025-09-29,회남(옥천),818.0614223310513,0.37,1,turbidity,-0.09784650563095056,acc_temp_7d,0.04302757944329642,water_temp,0.04163464297322207
2025-10-10,회남(옥천),401.09825589448207,0.36,1,turbidity,-0.11052642643669969,acc_temp_7d,0.04658674584828987,sin_season,0.045366468160700606
2025-10-14,회남(옥천),346.4996602042743,0.24,1,turbidity,-0.08216503813779127,cos_season,-0.07521174572539166,transparency,-0.04651765795477331
2025-10-20,회남(옥천),410.85106140844107,0.26,1,cos_season,-0.07639400723928702,turbidity,-0.06656162602550467,water_temp,0.040562539690217815
2025-10-27,회남(옥천),318.2057665922827,0.05,1,turbidity,-0.062387893179620735,cos_season,-0.05686634585243155,air_temp_7d_mean,-0.03972345234513341
2025-11-03,회남(옥천),46.442217099163955,0.03,0,cos_season,-0.057267932649538125,air_temp_7d_mean,-0.04635051593344542,turbidity,-0.04572995631682716
2025-11-10,회남(옥천),189.73690315152348,0.0,0,turbidity,-0.05357142837818173,water_temp,-0.051592063680909635,cos_season,-0.04013940486936917
2025-11-17,회남(옥천),91.50608436873047,0.01,0,water_temp,-0.0566228574968045,turbidity,-0.05509587303929948,cos_season,-0.045415754055738944
2025-11-24,회남(옥천),131.96005885154597,0.0,0,water_temp,-0.0545108299999265,turbidity,-0.053222853468414544,cos_season,-0.04369595237539215
2025-12-01,회남(옥천),67.53036321814439,0.0,0,turbidity,-0.0506465474952347,water_temp,-0.05041892872559402,cos_season,-0.03454595274542953
2025-12-08,회남(옥천),106.7447879710883,0.0,0,water_temp,-0.04959960353447968,turbidity,-0.04678222245993311,avg_temp,-0.027052659233486338
2025-12-15,회남(옥천),79.17435292316186,0.0,0,water_temp,-0.0458705560596718,turbidity,-0.04105265904981934,sin_season,-0.029057421211036855
